Property_price_EGP,Location_governorate,Location_City,Bed_Rooms,Bath_Rooms,Home_Space_SQM,Furnished,Property_Type,Payment_Option,Delivery_Date
"3,500,000",Cairo,Madinaty,3,3,200,No,Apartment,Cash,Ready To Move
"1,650,000",Cairo,Madinaty,2,1,106,No,Apartment,Cash,Ready To Move
"4,500,000",Cairo,New Cairo - El Tagamoa,3,3,180,No,Apartment,Cash,Ready To Move
"600,000",Giza,Faisal,3,1,135,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Madinaty,3,2,124,No,Apartment,Cash,Ready To Move
"6,300,000",Cairo,New Cairo - El Tagamoa,3,3,200,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,Madinaty,3,3,175,No,Apartment,Cash,Ready To Move
"800,000Negotiable",,140 SQM,31icon/categories/area140 SQM,,icon/categories/area140,No,Apartment,Cash,Ready To Move
"1,350,000",Giza,Dokki,3,2,180,No,Apartment,Cash,Ready To Move
"350,000",Qalyubia,Musturad,3,1,85,No,Apartment,Cash,Ready To Move
"5,050,000Negotiable",,300 SQM,44icon/categories/area300 SQM,,icon/categories/area300,No,Apartment,Cash,Ready To Move
"2,700,000",Cairo,Madinaty,3,3,165,No,Apartment,Cash,Ready To Move
"950,000",Cairo,New Cairo - El Tagamoa,3,2,125,No,Apartment,Cash,Ready To Move
"2,100,000",Cairo,Madinaty,3,2,131,No,Apartment,Cash,Ready To Move
"5,000,000Negotiable",,185 SQM,32icon/categories/area185 SQM,,icon/categories/area185,No,Apartment,Cash,Ready To Move
"1,300,000Negotiable",,82 SQM,21icon/categories/area82 SQM,,icon/categories/area82,No,Apartment,Cash,Ready To Move
"470,000",Cairo,New Cairo - El Tagamoa,2,1,70,No,Apartment,Cash,Ready To Move
"3,600,000Negotiable",,196 SQM,43icon/categories/area196 SQM,,icon/categories/area196,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Rehab City,3,3,169,No,Apartment,Cash,Ready To Move
"370,000",Cairo,New Cairo - El Tagamoa,2,1,100,No,Apartment,Cash,Ready To Move
"520,000",Cairo,New Cairo - El Tagamoa,3,2,130,No,Apartment,Cash,Ready To Move
"3,100,000Negotiable",,155 SQM,33icon/categories/area155 SQM,,icon/categories/area155,No,Apartment,Cash,Ready To Move
"4,500,000",Cairo,New Cairo - El Tagamoa,3,3,235,No,Apartment,Cash,Ready To Move
"2,300,000",Alexandria,Stanley,3,2,125,No,Apartment,Cash,Ready To Move
"1,700,000",Cairo,Rehab City,1,1,60,No,Apartment,Cash,Ready To Move
"1,100,000",Alexandria,Gianaclis,3,1,125,No,Apartment,Cash,Ready To Move
"1,300,000",Cairo,Ain Shams,5,2,250,No,Apartment,Cash,Ready To Move
"1,800,000",Cairo,Rehab City,2,1,90,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,Rehab City,3,3,200,No,Apartment,Cash,Ready To Move
"2,200,000",Cairo,New Cairo - El Tagamoa,3,3,220,No,Apartment,Cash,Ready To Move
"1,250,000",Cairo,Madinaty,2,1,71,No,Apartment,Cash,Ready To Move
"900,000Negotiable",,122 SQM,31icon/categories/area122 SQM,,icon/categories/area122,No,Apartment,Cash,Ready To Move
"2,650,000",Cairo,New Cairo - El Tagamoa,3,3,160,No,Apartment,Cash,Ready To Move
"850,000",Cairo,Sheraton,2,2,90,No,Apartment,Cash,Ready To Move
"4,500,000Negotiable",,246 SQM,33icon/categories/area246 SQM,,icon/categories/area246,No,Apartment,Cash,Ready To Move
"3,400,000",Alexandria,Zezenia,3,3,240,No,Apartment,Cash,Ready To Move
"3,200,000",Giza,Sheikh Zayed,3,2,163,No,Apartment,Cash,Ready To Move
"2,300,000",Cairo,Madinaty,3,2,138,No,Apartment,Cash,Ready To Move
"2,900,000",Cairo,Madinaty,3,3,178,No,Apartment,Cash,Ready To Move
"4,850,000Negotiable",,330 SQM,42icon/categories/area330 SQM,,icon/categories/area330,No,Apartment,Cash,Ready To Move
"3,250,000",Cairo,Rehab City,3,3,139,No,Apartment,Cash,Ready To Move
"4,300,000",Cairo,New Cairo - El Tagamoa,3,3,225,No,Apartment,Cash,Ready To Move
"3,400,000",Cairo,New Cairo - El Tagamoa,2,3,160,No,Apartment,Cash,Ready To Move
"1,200,000",Alexandria,Camp Caesar,3,1,120,No,Apartment,Cash,Ready To Move
"2,800,000",Cairo,Madinaty,3,2,160,No,Apartment,Cash,Ready To Move
"2,950,000",Giza,6th of October,3,3,245,No,Apartment,Cash,Ready To Move
"3,100,000Negotiable",,155 SQM,33icon/categories/area155 SQM,,icon/categories/area155,No,Apartment,Cash,Ready To Move
"1,300,000",Cairo,Mokattam,3,3,210,No,Apartment,Cash,Ready To Move
"1,500,000",Cairo,Mokattam,3,2,220,No,Apartment,Cash,Ready To Move
"700,000",Qalyubia,Shubra al-Khaimah,2,1,125,No,Apartment,Cash,Ready To Move
"9,500,000",Cairo,New Cairo - El Tagamoa,3,3,244,No,Apartment,Cash,Ready To Move
"8,500,000",Cairo,New Cairo - El Tagamoa,3,3,234,No,Apartment,Cash,Ready To Move
"1,750,000",Cairo,Rehab City,2,1,90,No,Apartment,Cash,Ready To Move
"3,000,000",Cairo,Rehab City,3,3,155,No,Apartment,Cash,Ready To Move
"1,300,000",Cairo,Madinaty,2,1,82,No,Apartment,Cash,Ready To Move
"8,200,000Negotiable",,234 SQM,34icon/categories/area234 SQM,,icon/categories/area234,No,Apartment,Cash,Ready To Move
"3,500,000",Cairo,Madinaty,3,3,200,No,Apartment,Cash,Ready To Move
"750,000Negotiable",,100 SQM,21icon/categories/area100 SQM,,icon/categories/area100,No,Apartment,Cash,Ready To Move
"1,250,000",Cairo,Madinaty,2,1,77,No,Apartment,Cash,Ready To Move
"1,600,000Negotiable",,165 SQM,32icon/categories/area165 SQM,,icon/categories/area165,No,Apartment,Cash,Ready To Move
"1,300,000Negotiable",,180 SQM,22icon/categories/area180 SQM,,icon/categories/area180,No,Apartment,Cash,Ready To Move
"2,200,000",Alexandria,Laurent,3,2,169,No,Apartment,Cash,Ready To Move
"5,500,000",Cairo,New Cairo - El Tagamoa,3,3,190,No,Apartment,Cash,Ready To Move
"1,250,000",Ismailia,Ismailia City,3,10+,135,No,Apartment,Cash,Ready To Move
"1,770,000",Cairo,Madinaty,3,2,116,No,Apartment,Cash,Ready To Move
"1,680,000",Cairo,Madinaty,3,2,116,No,Apartment,Cash,Ready To Move
"1,500,000Negotiable",,122 SQM,32icon/categories/area122 SQM,,icon/categories/area122,No,Apartment,Cash,Ready To Move
"2,000,000",Cairo,Sheraton,3,2,215,No,Apartment,Cash,Ready To Move
"570,000Negotiable",,104 SQM,21icon/categories/area104 SQM,,icon/categories/area104,No,Apartment,Cash,Ready To Move
